Empresa;Periodo;Cuenta;Desc_Cuenta;Nro_Subcuenta;Desc_Subcuenta;Tipo_Subcuenta;Centro_Costo;Debe;Haber;Saldo
GUARE;201612;1;Caja;;Asiento de Diario M;;;648000.0;0.0;648000.0
GUARE;201702;1;Caja;;O Pago M;;;0.0;0.0;0.0
GUARE;201703;1;Caja;;O Pago;;;0.0;0.0;0.0
GUARE;201703;1;Caja;;O Pago M;;;0.0;-11055.0;-11055.0
GUARE;201703;1;Caja;;Orden de Pago M (F);;;0.0;-10000.0;-10000.0
GUARE;201703;1;Caja;;Rendicion de Fondos M;;;0.0;-350.0;-350.0
GUARE;201704;1;Caja;;O Pago;;;0.0;-5000.0;-5000.0
GUARE;201704;1;Caja;;O Pago M;;;0.0;-630.0;-630.0
GUARE;201704;1;Caja;;Orden de Pago (F);;;1775000.0;-15000.0;1760000.0
GUARE;201704;1;Caja;;Orden de Pago M (F);;;0.0;-1424500.0;-1424500.0
GUARE;201704;1;Caja;;Recibos X M (F);;;855000.0;0.0;855000.0
GUARE;201705;1;Caja;;O Pago;;;0.0;-3500.0;-3500.0
GUARE;201705;1;Caja;;O Pago M;;;0.0;0.0;0.0
GUARE;201705;1;Caja;;Orden de Pago (F);;;65000.0;-15380.0;49620.0
GUARE;201705;1;Caja;;Orden de Pago M (F);;;0.0;-8547.0;-8547.0
GUARE;201705;1;Caja;;Recibo X;;;0.0;0.0;0.0
GUARE;201705;1;Caja;;Recibo X M;;;1000000.0;0.0;1000000.0
GUARE;201705;1;Caja;;Recibos X M (F);;;0.0;0.0;0.0
GUARE;201705;1;Caja;;Rendicion de Fondos M;;;0.0;-30.0;-30.0
GUARE;201706;1;Caja;;Orden de Pago (F);;;1095000.0;-415000.0;680000.0
GUARE;201706;1;Caja;;Orden de Pago M (F);;;0.0;-612071.0;-612071.0
GUARE;201706;1;Caja;;Recibos X (F);;;95000.0;0.0;95000.0
GUARE;201706;1;Caja;;Recibos X M (F);;;580000.0;0.0;580000.0
GUARE;201706;1;Caja;;Rendicion de Fondos M;;;0.0;-52.0;-52.0
GUARE;201707;1;Caja;;O Pago;;;0.0;0.0;0.0
GUARE;201707;1;Caja;;Orden de Pago (F);;;0.0;0.0;0.0
GUARE;201707;1;Caja;;Orden de Pago M (F);;;0.0;-91550.0;-91550.0
GUARE;201707;1;Caja;;Rendicion de Fondos M;;;0.0;-2086.0;-2086.0
GUARE;201708;1;Caja;;Asiento de Diario M;;;1100.0;0.0;1100.0
GUARE;201708;1;Caja;;Orden de Pago (F);;;60000.0;0.0;60000.0
GUARE;201708;1;Caja;;Orden de Pago M (F);;;0.0;-91030.0;-91030.0
GUARE;201708;1;Caja;;Recibos X M (F);;;0.0;0.0;0.0
GUARE;201708;1;Caja;;Rendicion de Fondos;;;0.0;0.0;0.0
GUARE;201708;1;Caja;;Rendicion de Fondos M;;;0.0;-2575.0;-2575.0
GUARE;201709;1;Caja;;Orden de Pago (F);;;0.0;-844.0;-844.0
GUARE;201709;1;Caja;;Orden de Pago M (F);;;0.0;-32377.0;-32377.0
GUARE;201709;1;Caja;;Rendicion de Fondos;;;0.0;0.0;0.0
GUARE;201709;1;Caja;;Rendicion de Fondos M;;;0.0;-580.0;-580.0
GUARE;201710;1;Caja;;Asiento de Diario M;;;6000.0;0.0;6000.0
GUARE;201710;1;Caja;;Orden de Pago (F);;;0.0;-550844.0;-550844.0
GUARE;201710;1;Caja;;Orden de Pago M (F);;;0.0;-64905.0;-64905.0
